booth,x,y
INSIDER,2901.4725341796875,1228.4000244140625
DITO,2762.98876953125,1117.4000244140625
CREDIX,2899.9852294921875,1117.4000244140625
Quality,2634.7589111328125,1116.9000244140625
digital,2634.7589111328125,1116.9000244140625
Dynamic yield,2500.964599609375,1117.4000244140625
Rock,2501.4765625,1230.9000244140625
Encantech,2501.4765625,1230.9000244140625
Cadastra,2501.473388671875,1328.4000244140625
TRINIO,2291.7969970703125,1005.9000244140625
Ollie,2291.7969970703125,1005.9000244140625
Shop,2291.7969970703125,1005.9000244140625
SYNERISE,2185.2401123046875,1555.9000244140625
celcoin,2240.9864501953125,1453.4000244140625
Jitterbit,2442.238525390625,1555.4000244140625
Full Commerce,2442.238525390625,1555.4000244140625
weni by vtex,2636.96923828125,1503.4000244140625
Intelipost,2365.7735595703125,1453.4000244140625
Loja Integrada,2504.458740234375,1453.4000244140625
CIELO,2630.991943359375,746.4000244140625
RETAIL MEDIA ÁREA,2958.8572998046875,432.0
ESPAÇO B2B,2048.963623046875,946.0
SHOPPING VTEX,2729.1787109375,524.7999877929688
Linx,3028.9930419921875,1004.4000244140625
Unico,2488.98876953125,829.4000244140625
BANCO,2503.2576904296875,983.9000244140625
INTER,2503.2576904296875,983.9000244140625
Stone,3029.9681396484375,1145.199951171875
aws,2899.993896484375,1724.4000244140625
Social S/A,2364.9744873046875,1281.4000244140625
Appmax,2762.985107421875,1503.4000244140625
CRMBonus,2960.5596923828125,1328.4000244140625
Kobe,2960.5596923828125,1328.4000244140625
Adyen,3031.4869384765625,1503.4000244140625
Paypal,3031.9866943359375,1727.4000244140625
área VIP pay pal,3591.142822265625,1800.5
NUVEI,3038.988525390625,864.4000244140625
DHL,3038.9942626953125,934.7999877929688
WORLDPAY,2630.470458984375,864.4000244140625
SIGNIFYD,2630.470458984375,864.4000244140625
HOUSE MIX,3141.181884765625,643.9306030273438
INFORMAÇÕES,2511.39990234375,654.8713073730469
ÁGUA,2511.39990234375,707.2911376953125
dock,3141.300048828125,1204.8448486328125
VISA,3141.300048828125,1204.8448486328125
PALCO PRINCIPAL,3839.9111328125,1155.3914184570312
pagbank,2703.3231201171875,1671.4000244140625
SUPER CUBO LED,2527.4769287109375,1809.5999755859375
Axur,2769.2369384765625,864.4000244140625
Cityads,2769.2369384765625,864.4000244140625
GRUPO,2894.9659423828125,767.9000244140625
CASAS BAHIA,2894.9659423828125,767.9000244140625
THE LED,2894.9833984375,664.4000244140625
